Datetime,Main_Tag,hashtags,Tweet_id,post_urls,link
2017-07-22 02:56:08+00:00,FreeDownload,"freedownload,illustration,DL,Download",888593477272911872,https://twitter.com/emma_ai_/status/888593477272911872,http://www.ac-illust.com/main/profile.php?id=9e1P4JZR&area=1
2017-07-22 02:46:01+00:00,FreeDownload,"access2013,FreeDownload,Free,Giveaway",888590930336526336,https://twitter.com/artofserviceIT/status/888590930336526336,http://buff.ly/2ucjvvy
2017-07-22 02:42:04+00:00,FreeDownload,"access2013,FreeDownload,Free,Giveaway",888589934747103235,https://twitter.com/EmereoBooks/status/888589934747103235,http://buff.ly/2tJa03A
2017-07-22 02:42:01+00:00,FreeDownload,"sapco,FreeDownload,Free,Giveaway",888589921946152964,https://twitter.com/NewsStorage/status/888589921946152964,http://buff.ly/2vkYq0p
2017-07-22 02:40:11+00:00,FreeDownload,"docker,FreeDownload,Free,Giveaway",888589461700960257,https://twitter.com/NetworksecNews/status/888589461700960257,http://buff.ly/2tIvTQD
2017-07-22 02:40:09+00:00,FreeDownload,"docker,FreeDownload,Free,Giveaway",888589454197354496,https://twitter.com/artofserviceIT/status/888589454197354496,http://buff.ly/2ucyFRJ
2017-07-22 02:38:02+00:00,FreeDownload,"demandmanagement,FreeDownload,Free,Giveaway",888588919306149888,https://twitter.com/MicrosoftOffic1/status/888588919306149888,http://buff.ly/2tgP0lv
2017-07-22 02:36:01+00:00,FreeDownload,"docker,FreeDownload,Free,Giveaway",888588412550295552,https://twitter.com/EmereoBooks/status/888588412550295552,http://buff.ly/2uL2M44
2017-07-22 02:36:01+00:00,FreeDownload,"sniffer,FreeDownload,Free,Giveaway",888588412265091072,https://twitter.com/Content_Managem/status/888588412265091072,http://buff.ly/2tIzDBx
2017-07-22 02:36:01+00:00,FreeDownload,"docker,FreeDownload,Free,Giveaway",888588412042846208,https://twitter.com/Blogging_News1/status/888588412042846208,http://buff.ly/2tIJEhW
2017-07-22 02:34:01+00:00,FreeDownload,"nanoserver,FreeDownload,Free,Giveaway",888587907660996610,https://twitter.com/blokdykg/status/888587907660996610,http://buff.ly/2ukoEQz
2017-07-22 02:32:01+00:00,FreeDownload,"infotainment,FreeDownload,Free,Giveaway",888587406135492608,https://twitter.com/Apple_News1/status/888587406135492608,http://buff.ly/2trX8Uj
2017-07-22 02:32:01+00:00,FreeDownload,"access2013,FreeDownload,Free,Giveaway",888587405627981824,https://twitter.com/CIO_News/status/888587405627981824,http://buff.ly/2ts5pY7
2017-07-22 02:32:00+00:00,FreeDownload,"sapco,FreeDownload,Free,Giveaway",888587403052687361,https://twitter.com/ITItnews/status/888587403052687361,http://buff.ly/2ucEXkh
2017-07-22 02:32:00+00:00,FreeDownload,"infotainment,FreeDownload,Free,Giveaway",888587401920106496,https://twitter.com/NewsStorage/status/888587401920106496,http://buff.ly/2trIe0m
2017-07-22 02:28:00+00:00,FreeDownload,"sapco,FreeDownload,Free,Giveaway",888586396654460929,https://twitter.com/Agile_News/status/888586396654460929,http://buff.ly/2uahIp9
