layer,category,indomain,image_name,decode_url,image_urls
2.0,1,0,e93f9643f12238c6c34dd6699c815d912f85868f.png,525650,"https://images.sftcdn.net/images/t_app-logo-xl,f_auto/p/ef738daa-700b-413b-82a8-196d56636dee/1041567387/papyrus-fnf-friday-night-funkin-mod-icon.png"
2.0,1,0,14482852ebf7a0cbeadfe5f4438b06e9c120255c.png,http://apcm.2tag.fr,"https://images.sftcdn.net/images/t_app-logo-xl,f_auto/p/87d09601-dc65-4944-a67d-495722521483/3648620143/framaroot-icon.png"
2.0,1,0,b1eee3f61268eedcd80a938b081e09b7c96200f5.jpg,https://betanews.com/2021/04/02/simplecodegenerator/,"https://images.sftcdn.net/images/t_app-logo-xl,f_auto/p/9d6d9234-ce8b-433a-8e42-eb1dac088fbe/1748275401/simplecodegenerator-icon.jpg"
2.0,1,0,9b9054e0ac8a0289430169a77ff63ad1774ee8c1.png,https://www.nirsoft.net/utils/qr_code_generator.html,"https://images.sftcdn.net/images/t_app-cover-s,f_auto/p/9d6d9234-ce8b-433a-8e42-eb1dac088fbe/3490133618/simplecodegenerator-screenshot.png"
2.0,1,0,a2c5ed17e1eac264b53ea7c70feb404b810239f9.jpg,QR Scanner+ by ZYLAPPS,"https://images.sftcdn.net/images/t_app-cover-s,f_auto/p/99b899dc-1c18-4c71-9c51-201fd6dfa645/735247494/qr-code-reader-pro-apps.28545.13570092615820219.03be06e6-0cc5-4921-bd7e-f5ce603b4b28.jpg"
2.0,1,0,a2d9de9968292054d1beb3c99df27241536d7864,MobileApp,"https://images.sftcdn.net/images/t_app-logo-l,f_auto/p/b06d3a88-22a8-486b-a69c-96b78f0f2276/1946056103/qr-code-reader-twmobile-logo"
2.0,1,0,5047db4b359b95257d7999578b3f61577c37955e.jpg,QR Scanner+ by ZYLAPPS,"https://images.sftcdn.net/images/t_app-cover-s-16-9,f_auto/p/99b899dc-1c18-4c71-9c51-201fd6dfa645/735247494/qr-code-reader-pro-apps.28545.13570092615820219.03be06e6-0cc5-4921-bd7e-f5ce603b4b28.jpg"
2.0,1,0,b3fed6e56ab16aeaf4b3454606dadae056d205ed.jpg,http://osaifu.nttdocomo.co.jp,"https://images.sftcdn.net/images/t_app-cover-s,f_auto/p/19a046ce-9b35-11e6-9bf8-00163ed833e7/4286489579/ictag-reader-screenshot.jpg"
2.0,1,0,3e3b978174eef396024dfa1327ca0de96ac2226f.jpg,QReader,"https://images.sftcdn.net/images/t_app-logo-xl,f_auto/p/1a64607c-9b53-11e6-9816-00163ec9f5fa/3114868954/qr-skaner-icon.jpg"
2.0,1,0,9f154b8253e514a1311627a7a6edd513729b1947.png,980907,"https://images.sftcdn.net/images/t_app-logo-xl,f_auto/p/c95f87ee-9b2d-11e6-953a-00163ec9f5fa/2915151495/tekisei-logo.png"
