exist,shorturl,layer,category,indomain,image_name,decode_url,unshorten_url,image_urls
True,False,3.0,1,1,acc6341a76115fb2b1eb661ca1c0f89a84249b31.png,https://s3.amazonaws.com/psiphon/web/mjr4-p23r-puwl/PsiphonAndroid.apk,https://s3.amazonaws.com/psiphon/web/mjr4-p23r-puwl/PsiphonAndroid.apk,https://psiphon3.com/images/android/android-download-qr.png
True,False,3.0,1,0,0384ea6f7d9028284f68126fd3cd0e8d357558c0.png,http://l.ead.me/bb5aXd,http://l.ead.me/bb5aXd,"https://images.sftcdn.net/images/t_app-logo-xl,f_auto/p/df889a7d-1e97-44e8-9730-0255329f9377/2832594768/qr-code-barcode-scanner-icon.png"
