exist,shorturl,Datetime,Tag,Tweet_id,image_name,decode_url,unshorten_url,image_urls
True,False,2022-05-20 11:21:13+00:00,#Microsoft365,1527610391458717697,FTMmTxsXsAUCbjD,https://forms.office.com/Pages/ResponsePage.aspx?id=VHa2s_0hDE2elrnTjv7eQWNXdaQi86JNpEF69aTTBJFUODBJMUlTN1lHWkZCUDZLSVlVTktHMDYzRC4u&qrcode=true,https://forms.office.com/Pages/ResponsePage.aspx?id=VHa2s_0hDE2elrnTjv7eQWNXdaQi86JNpEF69aTTBJFUODBJMUlTN1lHWkZCUDZLSVlVTktHMDYzRC4u&qrcode=true,https://pbs.twimg.com/media/FTMmTxsXsAUCbjD?format=jpg&name=large
True,False,2022-04-27 17:00:22+00:00,#Microsoft365,1519360822052544513,FRXancaWYAE2ZRI,https://flowcode.com/p/dkOJUXPrW,https://flowcode.com/p/dkOJUXPrW,https://pbs.twimg.com/media/FRXancaWYAE2ZRI?format=jpg&name=large
True,False,2022-04-27 17:00:22+00:00,#Microsoft365,1519360822052544513,FRXancaWYAE2ZRI,https://flowcode.com/p/dkOJir0Bs,https://flowcode.com/p/dkOJir0Bs,https://pbs.twimg.com/media/FRXancaWYAE2ZRI?format=jpg&name=large
