category,layer,indomain,urls
2,0,1,https://support.apple.com/zh-tw/itunes
2,0,1,https://www.youtube.com/
2,0,1,https://www.tiktok.com/foryou?is_copy_url=1&is_from_webapp=v1
2,0,1,https://support.google.com/youtube/answer/7636475?hl=zh-Hant&ref_topic=7293946
2,0,1,https://www.spotify.com/tw/
2,0,1,https://music.amazon.com/
2,0,1,https://www.npr.org/music
2,0,1,https://www.pond5.com/royalty-free-music/?gclid=Cj0KCQjw4uaUBhC8ARIsANUuDjWsNS4dmq34k5gYssDjtXXKPFxslGIFtuBG8P37ANTR9UkYGnYHsZUaAvtZEALw_wcB
2,0,1,https://apps.microsoft.com/store/detail/windows-media-player/9WZDNCRFJ3PT?hl=en-us&gl=US
2,0,1,https://www.twitch.tv/directory/game/Music
