category,layer,indomain,urls
4,0,1,https://blogger.googleblog.com/search/label/adsense
4,0,1,https://www.theguardian.com/technology/2008/mar/09/blogs
4,0,1,https://blog.twitter.com/
4,0,1,https://seths.blog/
4,0,1,https://seekforest.blogspot.com/2018/06/pixnetbloggermediumfacebookweeblywordpr.html
4,0,1,https://ej2009eg.pixnet.net/blog
4,0,1,https://medium.com/@yinning
4,0,1,https://www.facebook.com/yinningw/notes?lst=100000395435362%3A100000395435362%3A1529297380
4,0,1,https://seekforest.weebly.com/
4,0,1,https://blog.usa.gov/
